,Year,Production,Share
12,2003-04,170.9,11.59
14,2004-05,167.4,10.83
17,2005-06,193.24,11.71
19,2006-07,216.63,12.85
10,2007-08,209.0,12.46
2,2008-09,268.96,14.32
7,2009-10,317.6,36.06
15,2010-11,330.34,26.75
11,2011-12,288.1,12.97
9,2012-13,320.9,12.92
5,2013-14,302.39,11.7
6,2014-15,420.81,14.91
3,2015-16,429.77,16.59
13,2016-17,450.79,15.53
8,2017-18,524.2,17.95
16,2017-18,524.2,17.95
0,2018-19,643.25,21.15
4,2019-20,710.81,22.34
1,2020-21,821.79,24.47
18,2021-22,854.66,24.49
