,Year,Production,Share
12,2003-04,59.9,4.06
14,2004-05,69.7,4.51
17,2005-06,84.8,5.14
19,2006-07,91.61,5.44
10,2007-08,83.5,4.98
2,2008-09,91.01,4.85
7,2009-10,44.1,5.01
15,2010-11,52.98,4.29
11,2011-12,55.1,2.48
9,2012-13,43.38,1.75
5,2013-14,47.72,1.85
6,2014-15,32.63,1.16
3,2015-16,34.09,1.32
13,2016-17,29.02,1.0
8,2017-18,58.93,2.02
16,2017-18,58.93,2.02
0,2018-19,56.56,1.86
4,2019-20,33.11,1.04
1,2020-21,50.01,1.49
18,2021-22,50.01,1.43
