,Year,Production,Share
12,2003-04,1163.1,78.89
14,2004-05,1233.9,79.82
17,2005-06,1275.03,77.29
19,2006-07,1284.23,76.2
10,2007-08,1290.0,76.92
2,2008-09,1415.0,75.33
7,2009-10,440.0,49.96
15,2010-11,774.0,62.68
11,2011-12,1810.0,81.5
9,2012-13,2050.0,82.56
5,2013-14,2160.0,83.55
6,2014-15,2292.53,81.22
3,2015-16,2048.11,79.08
13,2016-17,2378.17,81.94
8,2017-18,2286.44,78.3
16,2017-18,2286.44,78.3
0,2018-19,2283.96,75.11
4,2019-20,2350.37,73.88
1,2020-21,2399.72,71.47
18,2021-22,2466.29,70.67
