,Year,Production,Share
3,2013-14,1.14,0.04
4,2014-15,1.14,0.04
1,2015-16,0.5,0.02
6,2016-17,0.6,0.02
5,2017-18,0.54,0.02
7,2017-18,0.54,0.02
0,2018-19,0.3,0.01
2,2019-20,0.23,0.01
