,Year,Production,Share
10,2003-04,0.3,0.02
12,2004-05,0.3,0.02
15,2005-06,0.33,0.02
17,2006-07,0.38,0.02
8,2007-08,0.5,0.03
2,2008-09,0.55,0.03
5,2009-10,0.5,0.06
13,2010-11,0.57,0.05
9,2011-12,1.01,0.05
7,2012-13,0.75,0.03
4,2013-14,0.74,0.03
11,2016-17,0.65,0.02
6,2017-18,0.89,0.03
14,2017-18,0.89,0.03
0,2018-19,1.04,0.03
3,2019-20,1.19,0.04
1,2020-21,1.58,0.05
16,2021-22,1.58,0.05
