,Year,Production,Share
12,2003-04,35.0,2.37
14,2004-05,37.8,2.45
17,2005-06,56.41,3.42
19,2006-07,51.77,3.07
10,2007-08,52.4,3.12
2,2008-09,62.24,3.31
7,2009-10,29.8,3.38
15,2010-11,27.61,2.24
11,2011-12,28.86,1.3
9,2012-13,31.51,1.27
5,2013-14,8.93,0.35
6,2014-15,11.19,0.4
3,2015-16,14.64,0.57
13,2016-17,15.36,0.53
8,2017-18,15.92,0.55
16,2017-18,15.92,0.55
0,2018-19,21.2,0.7
4,2019-20,46.82,1.47
1,2020-21,46.82,1.39
18,2021-22,46.82,1.34
