,Year,Production,Share
12,2003-04,0.6,0.04
13,2004-05,0.6,0.04
16,2005-06,2.96,0.18
18,2006-07,4.22,0.25
10,2007-08,8.3,0.49
2,2008-09,9.96,0.53
7,2009-10,18.4,2.09
14,2010-11,20.4,1.65
11,2011-12,24.3,1.09
9,2012-13,20.8,0.84
5,2013-14,23.87,0.92
6,2014-15,22.55,0.8
3,2015-16,22.55,0.87
8,2017-18,18.0,0.62
15,2017-18,18.0,0.62
0,2018-19,16.5,0.54
4,2019-20,17.3,0.54
1,2020-21,17.3,0.52
17,2021-22,17.3,0.5
