,Year,Production,Share
6,2005-06,0.15,0.01
7,2006-07,0.15,0.01
2,2007-08,0.1,0.01
0,2008-09,0.12,0.01
1,2009-10,0.2,0.02
5,2010-11,0.15,0.01
3,2011-12,0.14,0.01
4,2016-17,0.1,0.0
