,Year,Production,Share
11,2003-04,2.3,0.16
12,2004-05,2.4,0.16
15,2005-06,3.0,0.18
17,2006-07,2.65,0.16
10,2007-08,3.5,0.21
2,2008-09,6.5,0.35
7,2009-10,12.5,1.42
13,2010-11,14.72,1.19
9,2012-13,2.0,0.08
5,2013-14,2.0,0.08
6,2014-15,3.0,0.11
3,2015-16,2.2,0.08
14,2017-18,1.28,0.04
8,2017-18,1.28,0.04
0,2018-19,1.28,0.04
4,2019-20,1.34,0.04
1,2020-21,1.36,0.04
16,2021-22,35.45,1.02
