,Year,Production,Share
12,2003-04,33.7,2.29
14,2004-05,32.3,2.09
17,2005-06,30.21,1.83
19,2006-07,30.7,1.82
10,2007-08,26.7,1.59
2,2008-09,22.09,1.18
7,2009-10,15.5,1.76
15,2010-11,12.94,1.05
11,2011-12,12.52,0.56
9,2012-13,12.52,0.5
5,2013-14,12.02,0.46
6,2014-15,9.21,0.33
3,2015-16,8.49,0.33
13,2016-17,8.22,0.28
8,2017-18,8.23,0.28
16,2017-18,8.23,0.28
0,2018-19,8.26,0.27
4,2019-20,8.45,0.27
1,2020-21,6.98,0.21
18,2021-22,6.98,0.2
