,Year,Production,Share
4,2013-14,25.79,1.0
5,2014-15,26.81,0.95
2,2015-16,13.54,0.52
7,2016-17,3.47,0.12
6,2017-18,5.27,0.18
8,2017-18,5.27,0.18
0,2018-19,7.92,0.26
3,2019-20,11.31,0.36
1,2020-21,11.14,0.33
9,2021-22,10.02,0.29
