,Year,Production,Share
6,2003-04,8.5,0.58
7,2004-05,1.4,0.09
9,2005-06,3.3,0.2
11,2006-07,2.77,0.16
4,2007-08,2.9,0.17
1,2008-09,1.72,0.09
2,2009-10,1.9,0.22
8,2010-11,1.06,0.09
5,2011-12,0.7,0.03
3,2012-13,0.71,0.03
0,2020-21,0.29,0.01
10,2021-22,0.29,0.01
